id_t,id_temperatura,id_humedad_relativa,id_presion_barometrica,id_radiacion_solar,id_precipitacion,id_dir_viento,id_velocidad_viento
1001.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
1002.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
1003.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
1006.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
1009.0,110.0,110.0,24.0,24.0,24.0,24.0,24.0
1010.0,110.0,110.0,24.0,24.0,24.0,24.0,24.0
1011.0,110.0,110.0,24.0,24.0,24.0,24.0,24.0
1012.0,4.0,110.0,24.0,24.0,24.0,24.0,24.0
1013.0,4.0,110.0,24.0,24.0,24.0,24.0,24.0
1014.0,4.0,110.0,24.0,24.0,24.0,24.0,24.0
1015.0,4.0,110.0,24.0,24.0,24.0,24.0,24.0
1016.0,4.0,110.0,24.0,24.0,24.0,24.0,24.0
1017.0,4.0,110.0,24.0,24.0,24.0,24.0,24.0
1018.0,4.0,110.0,24.0,24.0,24.0,24.0,24.0
1019.0,114.0,114.0,56.0,103.0,56.0,56.0,56.0
1020.0,114.0,114.0,56.0,103.0,56.0,56.0,56.0
1021.0,114.0,114.0,56.0,24.0,56.0,56.0,56.0
1022.0,114.0,114.0,56.0,24.0,56.0,56.0,56.0
1023.0,114.0,114.0,56.0,24.0,56.0,56.0,56.0
1024.0,114.0,114.0,56.0,24.0,56.0,56.0,56.0
1025.0,114.0,114.0,56.0,24.0,56.0,56.0,56.0
1026.0,114.0,114.0,56.0,24.0,56.0,56.0,56.0
1027.0,114.0,114.0,56.0,24.0,56.0,56.0,56.0
1028.0,114.0,114.0,56.0,24.0,56.0,56.0,56.0
1029.0,114.0,114.0,56.0,24.0,56.0,56.0,56.0
1030.0,114.0,114.0,56.0,24.0,56.0,56.0,56.0
1031.0,114.0,114.0,56.0,24.0,56.0,56.0,56.0
1032.0,114.0,114.0,56.0,24.0,56.0,56.0,56.0
1033.0,18.0,56.0,56.0,24.0,56.0,56.0,56.0
1034.0,18.0,56.0,56.0,24.0,56.0,56.0,56.0
1035.0,114.0,114.0,56.0,24.0,56.0,56.0,56.0
1036.0,114.0,114.0,56.0,24.0,56.0,56.0,56.0
1037.0,114.0,114.0,56.0,24.0,56.0,56.0,56.0
1038.0,110.0,110.0,24.0,24.0,24.0,24.0,24.0
1039.0,18.0,110.0,56.0,24.0,56.0,56.0,56.0
1040.0,18.0,110.0,56.0,24.0,56.0,56.0,56.0
1041.0,110.0,110.0,24.0,24.0,24.0,24.0,24.0
1042.0,110.0,110.0,24.0,24.0,24.0,24.0,24.0
1043.0,110.0,110.0,24.0,24.0,24.0,24.0,24.0
1044.0,4.0,110.0,24.0,24.0,24.0,24.0,24.0
1045.0,4.0,110.0,24.0,24.0,24.0,24.0,24.0
1046.0,4.0,110.0,24.0,24.0,24.0,24.0,24.0
1047.0,4.0,110.0,24.0,24.0,24.0,24.0,24.0
1048.0,112.0,112.0,102.0,102.0,102.0,102.0,102.0
1049.0,112.0,112.0,102.0,102.0,102.0,102.0,102.0
1050.0,112.0,112.0,102.0,102.0,102.0,102.0,102.0
1052.0,112.0,112.0,102.0,102.0,102.0,102.0,102.0
3395.0,38.0,38.0,106.0,106.0,106.0,106.0,106.0
3396.0,38.0,38.0,106.0,106.0,106.0,106.0,106.0
3397.0,38.0,38.0,106.0,106.0,106.0,106.0,106.0
3398.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0
3399.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0
3400.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0
3401.0,110.0,110.0,56.0,24.0,56.0,56.0,56.0
3402.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0
3403.0,18.0,24.0,24.0,24.0,24.0,24.0,24.0
3404.0,18.0,56.0,56.0,103.0,56.0,56.0,56.0
3405.0,56.0,56.0,56.0,103.0,56.0,56.0,56.0
3406.0,56.0,56.0,56.0,103.0,56.0,56.0,56.0
3407.0,109.0,109.0,106.0,106.0,106.0,106.0,106.0
3408.0,108.0,39.0,108.0,108.0,39.0,108.0,108.0
3409.0,18.0,24.0,24.0,24.0,24.0,24.0,24.0
3410.0,110.0,110.0,24.0,24.0,24.0,24.0,24.0
3411.0,38.0,38.0,106.0,106.0,106.0,106.0,106.0
3412.0,38.0,38.0,106.0,106.0,106.0,106.0,106.0
3413.0,38.0,38.0,106.0,106.0,106.0,106.0,106.0
3414.0,111.0,16.0,107.0,107.0,107.0,107.0,107.0
3415.0,111.0,16.0,107.0,107.0,107.0,107.0,107.0
3416.0,111.0,16.0,107.0,107.0,107.0,107.0,107.0
3417.0,110.0,110.0,56.0,24.0,56.0,56.0,56.0
3418.0,110.0,110.0,56.0,24.0,56.0,56.0,56.0
3419.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0
3420.0,103.0,103.0,103.0,103.0,103.0,104.0,104.0
3421.0,108.0,39.0,108.0,108.0,39.0,108.0,108.0
3423.0,38.0,38.0,108.0,108.0,39.0,108.0,108.0
3424.0,38.0,38.0,108.0,108.0,39.0,108.0,108.0
3425.0,38.0,38.0,108.0,108.0,39.0,108.0,108.0
3426.0,38.0,38.0,108.0,108.0,39.0,108.0,108.0
3427.0,38.0,38.0,108.0,108.0,39.0,108.0,108.0
3428.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
3430.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0
3431.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
3432.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0
3433.0,112.0,112.0,102.0,102.0,102.0,102.0,102.0
3434.0,109.0,109.0,107.0,107.0,107.0,107.0,107.0
3435.0,109.0,109.0,107.0,107.0,107.0,107.0,107.0
3436.0,112.0,112.0,56.0,102.0,56.0,104.0,104.0
3437.0,4.0,110.0,24.0,24.0,24.0,24.0,24.0
3438.0,4.0,110.0,24.0,24.0,24.0,24.0,24.0
3439.0,38.0,38.0,106.0,106.0,106.0,106.0,106.0
3440.0,38.0,38.0,106.0,106.0,106.0,106.0,106.0
3442.0,111.0,111.0,107.0,107.0,107.0,107.0,107.0
3443.0,111.0,16.0,107.0,107.0,107.0,107.0,107.0
3444.0,110.0,110.0,24.0,24.0,24.0,24.0,24.0
3445.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0
3446.0,56.0,56.0,56.0,103.0,56.0,56.0,56.0
3447.0,18.0,56.0,56.0,24.0,56.0,56.0,56.0
3448.0,38.0,38.0,107.0,107.0,107.0,107.0,107.0
3449.0,108.0,39.0,108.0,108.0,39.0,108.0,108.0
3452.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0
3453.0,108.0,39.0,108.0,108.0,39.0,108.0,108.0
3454.0,38.0,38.0,108.0,108.0,39.0,108.0,108.0
3455.0,38.0,38.0,106.0,106.0,106.0,106.0,106.0
3456.0,38.0,38.0,108.0,108.0,108.0,108.0,108.0
3457.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0
3458.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0
3459.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0
3460.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0
3461.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0
3462.0,8.0,8.0,102.0,102.0,102.0,102.0,102.0
3463.0,8.0,8.0,56.0,102.0,56.0,56.0,56.0
3464.0,8.0,8.0,56.0,102.0,56.0,56.0,56.0
3465.0,8.0,8.0,56.0,24.0,56.0,56.0,56.0
3466.0,114.0,114.0,56.0,24.0,56.0,56.0,56.0
3467.0,114.0,114.0,56.0,24.0,56.0,56.0,56.0
3468.0,38.0,38.0,106.0,106.0,106.0,106.0,106.0
3469.0,38.0,38.0,106.0,106.0,106.0,106.0,106.0
3470.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0
3471.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0
3472.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0
3473.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0
3474.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0
3475.0,110.0,110.0,56.0,24.0,56.0,56.0,56.0
3476.0,110.0,110.0,56.0,24.0,56.0,56.0,56.0
3477.0,110.0,110.0,56.0,24.0,56.0,56.0,56.0
3478.0,110.0,110.0,56.0,24.0,56.0,56.0,56.0
3479.0,56.0,56.0,56.0,103.0,56.0,56.0,56.0
3480.0,56.0,56.0,56.0,103.0,56.0,56.0,56.0
3481.0,18.0,56.0,56.0,24.0,56.0,56.0,56.0
3482.0,54.0,54.0,102.0,54.0,54.0,54.0,54.0
3483.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0
3484.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0
3485.0,108.0,39.0,108.0,108.0,39.0,108.0,108.0
3486.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0
3487.0,36.0,16.0,102.0,102.0,102.0,102.0,102.0
3488.0,111.0,111.0,102.0,102.0,102.0,102.0,102.0
3489.0,111.0,111.0,102.0,102.0,102.0,102.0,102.0
3490.0,36.0,36.0,102.0,102.0,102.0,102.0,102.0
3491.0,36.0,36.0,102.0,102.0,102.0,102.0,102.0
3492.0,36.0,36.0,102.0,102.0,102.0,102.0,102.0
3493.0,36.0,36.0,102.0,102.0,102.0,102.0,102.0
3494.0,108.0,39.0,108.0,108.0,39.0,108.0,108.0
3495.0,36.0,36.0,102.0,102.0,102.0,102.0,102.0
3496.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0
3497.0,109.0,109.0,107.0,107.0,107.0,107.0,107.0
3498.0,38.0,38.0,106.0,106.0,106.0,106.0,106.0
3499.0,38.0,38.0,106.0,106.0,106.0,106.0,106.0
3500.0,38.0,38.0,106.0,106.0,106.0,106.0,106.0
3501.0,111.0,111.0,107.0,107.0,107.0,107.0,107.0
3502.0,111.0,111.0,107.0,107.0,107.0,107.0,107.0
3503.0,111.0,111.0,107.0,107.0,107.0,107.0,107.0
3504.0,111.0,111.0,107.0,107.0,107.0,107.0,107.0
3505.0,110.0,110.0,56.0,24.0,56.0,56.0,56.0
3506.0,110.0,110.0,56.0,24.0,56.0,56.0,56.0
3507.0,114.0,114.0,56.0,24.0,56.0,56.0,56.0
3508.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0
3509.0,107.0,39.0,107.0,107.0,39.0,107.0,107.0
3510.0,108.0,39.0,108.0,108.0,39.0,108.0,108.0
3511.0,38.0,38.0,106.0,106.0,106.0,106.0,106.0
3512.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0
3513.0,38.0,38.0,106.0,106.0,106.0,106.0,106.0
3514.0,38.0,38.0,106.0,106.0,106.0,106.0,106.0
3515.0,114.0,114.0,56.0,24.0,56.0,56.0,56.0
3516.0,114.0,114.0,56.0,24.0,56.0,56.0,56.0
3517.0,114.0,114.0,56.0,103.0,56.0,56.0,56.0
3518.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0
3519.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0
3520.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0
3521.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0
3522.0,112.0,112.0,56.0,102.0,56.0,104.0,104.0
3523.0,8.0,8.0,56.0,102.0,56.0,56.0,56.0
3524.0,38.0,38.0,108.0,108.0,108.0,108.0,108.0
3525.0,111.0,111.0,107.0,107.0,107.0,107.0,107.0
3526.0,111.0,111.0,107.0,107.0,107.0,107.0,107.0
3527.0,103.0,103.0,103.0,103.0,103.0,104.0,104.0
3528.0,59.0,16.0,59.0,59.0,59.0,59.0,59.0
3529.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
3530.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0
3531.0,114.0,114.0,56.0,103.0,56.0,56.0,56.0
3532.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
3533.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0
3536.0,107.0,16.0,107.0,107.0,107.0,107.0,107.0
3538.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0
3539.0,107.0,16.0,107.0,107.0,107.0,107.0,107.0
3542.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
3544.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
3545.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
3546.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
3551.0,56.0,56.0,56.0,24.0,56.0,56.0,56.0
3553.0,18.0,110.0,24.0,24.0,24.0,24.0,24.0
3556.0,114.0,114.0,56.0,103.0,56.0,56.0,56.0
3557.0,59.0,16.0,59.0,59.0,59.0,59.0,59.0
3558.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0
3559.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0
3560.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0
3561.0,36.0,36.0,102.0,102.0,102.0,102.0,102.0
3562.0,109.0,109.0,107.0,107.0,107.0,107.0,107.0
3563.0,111.0,111.0,102.0,102.0,102.0,102.0,102.0
3564.0,111.0,111.0,102.0,102.0,102.0,102.0,102.0
3565.0,4.0,110.0,106.0,106.0,106.0,106.0,106.0
3566.0,18.0,56.0,56.0,24.0,56.0,56.0,56.0
3567.0,18.0,56.0,56.0,24.0,56.0,56.0,56.0
3568.0,18.0,56.0,56.0,24.0,56.0,56.0,56.0
3569.0,103.0,103.0,103.0,103.0,103.0,104.0,104.0
3570.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0
3571.0,56.0,56.0,56.0,103.0,56.0,56.0,56.0
3572.0,18.0,56.0,56.0,24.0,56.0,56.0,56.0
3573.0,56.0,56.0,56.0,24.0,56.0,56.0,56.0
3574.0,56.0,56.0,56.0,103.0,56.0,56.0,56.0
3576.0,18.0,56.0,56.0,24.0,56.0,56.0,56.0
3577.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
3578.0,8.0,8.0,106.0,106.0,106.0,106.0,106.0
3579.0,111.0,111.0,107.0,107.0,107.0,107.0,107.0
3580.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0
