,mean,median,daytime_mean,daytime_mean_ww,daytime_median,daytime_median_ww,lin-reg1,lin-reg2,xgboost,best_model
3481,6.9922,4.9873,5.3087,5.3146,4.5778,4.0145,4.6431,4.6286,4.3886,daytime_median_ww
3572,2.8305,2.6744,2.1906,1.8672,2.1834,1.7445,1.9873,1.9728,1.9654,daytime_median_ww
3576,10.1459,10.1455,3.3241,2.6839,3.5052,2.6331,9.1294,9.0965,6.0951,daytime_median_ww
3628,3.2235,3.0902,2.5708,2.1068,2.6765,2.03,2.3105,2.2952,2.03,daytime_median_ww
3684,3.0654,3.0872,2.5169,2.1799,2.6337,2.2491,2.276,2.2785,1.9151,xgboost
3685,4.1897,4.2165,3.058,1.872,3.3131,1.8681,2.2956,2.2766,1.7517,xgboost
3686,4.9853,5.1163,3.841,3.0203,4.4212,3.2814,3.6507,3.6264,3.1126,daytime_mean_ww
5044,1.949,1.9396,1.4362,1.0158,1.4311,0.9861,1.1771,1.1632,0.8722,xgboost
5045,3.9735,3.7813,2.9842,2.347,3.0912,2.0442,2.5993,2.5991,1.6488,xgboost
5046,3.9747,3.0616,3.6009,3.6606,2.9152,2.3193,2.7255,2.7142,2.3632,daytime_median_ww
5047,3.4993,3.5114,2.461,1.6105,2.5966,1.5971,1.9717,1.9596,1.5238,xgboost
5048,2.6939,2.6793,1.9485,1.3032,2.0036,1.2754,1.54,1.5223,1.3646,daytime_median_ww
5049,2.6967,2.7011,1.8045,1.2684,1.8238,1.2394,1.4565,1.4623,1.2203,xgboost
5050,2.7675,2.7482,1.7136,1.1375,1.7081,1.0978,1.3385,1.3323,1.045,xgboost
5051,5.5813,5.1771,4.7452,4.2916,4.1281,3.0176,6.3371,6.3263,5.0363,daytime_median_ww
5052,3.6547,3.7031,2.6586,1.7949,2.8283,1.8106,2.2317,2.2149,1.9644,daytime_mean_ww
5054,2.8787,2.8802,1.973,1.279,2.0026,1.2479,1.5171,1.5083,1.2584,daytime_median_ww
5055,5.331,5.1787,3.937,2.7402,4.3131,2.6996,3.4641,3.451,4.1612,daytime_median_ww
5061,3.2116,3.1494,2.4191,1.9889,2.5165,1.9487,2.2258,2.2167,1.8401,xgboost
5099,19.6999,18.7676,18.2949,18.381,17.4161,16.939,20.458,20.4785,19.6747,daytime_median_ww
5100,33.4855,37.0281,32.7917,32.2432,35.5025,35.0225,28.7391,28.7225,27.1288,xgboost
5101,19.9,20.8564,12.0349,11.5613,12.2963,11.7873,18.9112,18.9279,24.2602,daytime_mean_ww
5102,10.591,10.7477,7.5717,7.434,7.5252,7.4147,10.1018,10.0972,9.2003,daytime_median_ww
5105,4.2373,4.2264,3.0815,1.9485,3.3382,1.9279,2.5968,2.6005,1.7923,xgboost
5108,9.8801,9.5805,8.5593,8.4066,8.2872,7.8162,8.9827,8.9683,13.8297,daytime_median_ww
5109,1.9921,1.9912,1.5547,1.2642,1.5412,1.2291,1.4802,1.479,1.2528,daytime_median_ww
5114,12.0051,12.0068,7.7733,7.2431,7.9061,7.2126,10.935,10.937,10.3139,daytime_median_ww
5118,19.8532,14.1978,16.6112,19.9919,18.6567,23.1414,9.9287,9.9406,4.109,xgboost
5119,0.8638,0.7136,0.9135,0.7547,0.8469,0.7067,0.73,0.7286,0.6972,xgboost
5120,1.5615,1.3301,1.3161,1.1465,1.1913,1.0251,1.5844,1.5829,1.1582,daytime_median_ww
5121,4.1832,3.7406,3.0299,2.4559,3.1266,2.205,3.1972,3.198,3.123,daytime_median_ww
5122,2.9602,2.7246,2.2653,1.8743,2.2627,1.731,2.2517,2.2482,1.9239,daytime_median_ww
5125,11.6597,11.5197,8.8992,7.1881,10.0324,7.0789,7.7706,7.7436,6.9957,xgboost
5126,16.3341,16.3671,11.0831,7.895,13.3833,7.8441,8.8416,8.8165,7.6461,xgboost
5245,7.5844,5.1848,6.2465,6.2377,4.7249,4.1403,6.0382,6.0812,6.6016,daytime_median_ww
9847,5.3204,5.2742,5.0349,3.8583,5.339,3.7214,4.0881,4.0831,4.3948,daytime_median_ww
10025,2.8529,2.1707,2.3537,2.2856,2.0713,1.7013,2.0372,2.0295,1.7491,daytime_median_ww
