,mean,median,daytime_mean,daytime_mean_ww,daytime_median,daytime_median_ww,lin-reg1,lin-reg2,xgboost,best_model
3481,67.69,65.07,54.11,49.9,59.72,48.98,46.41,46.18,52.76,lin-reg2
3572,17.76,18.77,14.05,10.77,15.51,11.32,11.36,11.29,16.28,daytime_mean_ww
3576,396.87,416.22,28.53,19.92,33.65,21.77,394.37,393.14,234.38,daytime_mean_ww
3628,21.82,24.12,17.89,12.73,21.09,14.1,13.38,13.29,14.3,daytime_mean_ww
3684,39.12,40.45,37.74,35.27,39.83,36.71,33.29,33.33,17.68,xgboost
3685,24.43,25.21,18.49,6.75,23.3,6.95,8.69,8.59,5.84,xgboost
3686,43.87,53.07,33.76,22.28,45.45,27.16,21.71,21.46,21.36,xgboost
5044,6.79,6.85,5.92,3.44,6.26,3.55,3.68,3.65,1.24,xgboost
5045,23.92,21.76,16.85,10.05,20.09,8.65,10.59,10.52,7.45,xgboost
5046,23.95,18.22,22.11,19.87,19.92,13.16,14.39,14.26,18.02,daytime_median_ww
5047,20.0,21.04,14.4,7.27,16.51,7.53,8.37,8.3,8.9,daytime_mean_ww
5048,11.67,11.62,8.74,4.03,9.64,4.17,4.86,4.81,4.8,daytime_mean_ww
5049,13.04,13.5,9.05,5.59,9.53,5.7,5.98,5.98,8.69,daytime_mean_ww
5050,10.67,10.61,5.97,2.48,6.29,2.53,3.05,3.03,2.07,xgboost
5051,103.57,107.09,92.63,84.31,98.01,83.92,105.26,105.23,171.47,daytime_median_ww
5052,22.5,23.85,15.83,7.73,18.43,8.07,10.33,10.25,10.4,daytime_mean_ww
5054,13.16,13.36,9.33,4.52,10.05,4.59,5.32,5.31,3.68,xgboost
5055,42.96,47.81,32.25,15.9,40.1,16.43,22.79,22.72,39.18,daytime_mean_ww
5061,16.55,19.39,12.28,8.37,14.02,8.78,8.97,8.92,7.15,xgboost
5099,894.18,1064.43,883.2,840.52,1013.53,977.53,818.84,822.35,1074.48,lin-reg1
5100,1764.95,2195.84,1797.08,1699.14,2154.04,2105.66,1157.11,1156.31,1084.95,xgboost
5101,743.55,851.17,430.85,425.67,445.08,440.44,540.67,540.69,857.72,daytime_mean_ww
5102,452.64,475.2,300.09,300.18,306.66,307.16,412.87,412.66,313.04,daytime_mean
5105,26.92,27.45,19.93,8.16,24.71,8.34,11.16,11.12,6.76,xgboost
5108,328.31,348.72,268.36,261.66,278.27,271.18,319.99,320.25,581.98,daytime_mean_ww
5109,16.85,17.85,5.48,3.28,5.66,3.45,14.99,14.96,3.16,xgboost
5114,780.82,784.14,507.59,475.44,526.51,477.76,723.28,723.3,665.49,daytime_mean_ww
5118,453.71,246.94,394.54,504.78,525.69,712.41,142.89,143.35,32.75,xgboost
5119,1.09,1.08,2.22,0.91,1.91,0.99,0.87,0.86,0.81,xgboost
5120,5.45,5.22,5.67,4.28,5.33,4.33,5.57,5.57,6.19,daytime_mean_ww
5121,27.97,26.65,20.49,13.7,23.37,12.92,18.16,18.1,24.12,daytime_median_ww
5122,13.77,13.39,10.91,7.34,11.94,7.2,8.93,8.91,8.27,daytime_median_ww
5125,204.87,209.76,149.01,94.75,204.52,97.01,112.05,111.55,86.96,xgboost
5126,371.88,377.43,238.88,118.84,387.62,120.62,135.45,134.58,106.37,xgboost
5245,128.07,123.33,110.94,101.68,114.13,94.35,107.34,107.34,256.87,daytime_median_ww
9847,44.52,44.4,45.91,27.01,56.32,29.22,31.43,31.81,36.29,daytime_mean_ww
10025,12.79,11.39,11.24,10.07,10.74,7.03,8.25,8.21,9.81,daytime_median_ww
