,repeat,repeat_last,drift,gnn_config1,gnn_config2,gnn_config3,gnn_config4,gnn_config5,best_model
3481,5.6535,5.5998,7.7828,5.9663,5.9855,6.4677,5.9072,6.2973,repeat_last
3572,2.3972,2.3452,3.3521,2.5188,2.5273,2.5249,2.5629,2.4869,repeat_last
3576,3.0145,2.8904,4.1117,4.1594,4.1435,4.0034,4.0213,4.0496,repeat_last
3628,2.6485,2.5466,3.6235,3.9726,3.444,3.6141,3.716,3.7575,repeat_last
3684,2.4898,2.3275,3.2516,3.5654,3.2713,3.4313,3.3965,3.5065,repeat_last
3685,2.2673,2.205,3.2521,2.8526,2.7901,2.6543,2.6612,3.1118,repeat_last
3686,3.4978,3.3942,4.8878,3.8014,3.8699,3.8196,3.8888,4.0535,repeat_last
5044,1.2234,1.1837,1.7662,1.4701,1.3547,1.3747,1.3037,1.5224,repeat_last
5045,1.6234,1.5412,2.2101,2.3303,2.197,2.155,2.204,2.5575,repeat_last
5046,2.3675,2.2922,3.3666,2.4655,2.3428,2.4433,2.3613,2.4883,repeat_last
5047,1.8309,1.7604,2.5586,2.5255,2.4548,2.4174,2.303,2.5622,repeat_last
5048,1.5277,1.4685,2.1422,1.796,1.6843,1.701,1.5874,1.9218,repeat_last
5049,1.4521,1.3966,2.0418,1.833,1.8015,1.7983,1.6705,1.7992,repeat_last
5050,1.2463,1.2058,1.7696,1.6786,1.6082,1.6686,1.6397,1.8054,repeat_last
5051,4.1727,3.8668,5.2825,4.3293,4.3626,4.285,4.3838,4.706,repeat_last
5052,2.1418,2.0537,2.9744,2.6545,2.5909,2.6119,2.4231,2.8415,repeat_last
5054,1.4712,1.4026,2.0257,1.7944,1.6612,1.6893,1.6563,1.8868,repeat_last
5055,3.0468,2.9276,4.1258,3.9287,4.3129,4.1224,4.1009,4.43,repeat_last
5061,2.4659,2.4413,3.5262,3.2182,3.1145,3.1519,3.1351,3.0942,repeat_last
5099,11.16,9.2504,13.9195,14.6538,15.4742,13.6358,12.5712,11.927,repeat_last
5100,14.5118,13.2099,20.4298,20.8915,20.0539,21.1292,21.7813,21.6299,repeat_last
5101,4.4078,4.4135,6.4072,6.5614,6.9383,7.5327,6.7388,6.9085,repeat
5102,2.9823,3.0352,4.5199,1.9545,1.6816,1.6213,1.651,1.6506,gnn_config3
5105,2.2343,2.1582,3.1322,2.9483,2.7739,3.0145,2.7917,3.1284,repeat_last
5108,4.0027,4.0485,6.0451,5.3218,6.1615,7.0198,6.0158,6.2104,repeat
5109,1.6747,1.6389,2.3122,2.0826,2.013,2.0575,2.0133,2.0846,repeat_last
5114,4.458,2.9321,4.0516,2.3001,2.1304,2.1611,2.2409,2.2189,gnn_config2
5118,4.6612,4.5418,6.4642,5.2752,5.7391,6.8023,6.8892,5.8317,repeat_last
5119,0.8747,0.8749,1.227,1.7349,1.3539,1.4104,1.4293,1.3839,repeat
5120,1.4383,1.4333,2.0367,1.7061,1.6909,1.9094,1.8461,1.6873,repeat_last
5121,2.6736,2.6149,3.7968,3.3689,3.4756,3.4918,3.1479,3.3192,repeat_last
5122,2.2857,2.2636,3.2741,2.666,2.5908,2.6359,2.5421,2.8044,repeat_last
5125,9.4549,9.276,13.0564,10.9949,11.6934,11.5764,11.8234,11.4736,repeat_last
5126,9.9757,9.6388,13.659,11.9669,12.2551,12.7501,12.5497,12.7088,repeat_last
5245,4.9425,4.5806,6.1259,4.0137,3.9607,4.1522,3.9849,4.1372,gnn_config2
9847,5.2365,5.0351,6.9909,4.3727,4.7934,4.624,4.7207,4.8059,gnn_config1
10025,1.9749,1.9224,2.7815,2.0892,2.0617,2.0895,2.0295,2.0951,repeat_last
