,repeat,repeat_last,drift,gnn_config1,gnn_config2,gnn_config3,gnn_config4,gnn_config5,best_model
3481,88.44,87.12,156.91,82.8582,65.9277,63.2455,65.5848,60.109,gnn_config5
3572,20.04,18.87,35.35,19.475,14.6113,14.9045,14.7023,15.7157,gnn_config2
3576,27.86,24.39,44.76,23.755,22.4715,19.6579,20.739,19.2848,gnn_config5
3628,23.99,21.17,38.97,36.3826,23.6424,22.5743,26.0045,29.0644,repeat_last
3684,40.77,33.65,58.62,92.2528,73.1379,66.3028,69.2333,72.0821,repeat_last
3685,12.52,10.63,18.96,12.602,11.0706,11.1924,12.8368,10.2884,gnn_config5
3686,31.51,28.78,53.17,26.9298,22.4895,22.2184,22.6255,22.6299,gnn_config3
5044,5.31,4.68,8.67,4.2052,2.176,1.9524,2.2803,2.5111,gnn_config3
5045,8.66,6.78,11.72,8.2231,7.4372,7.16,8.7824,6.2828,gnn_config5
5046,18.95,17.21,32.24,18.0849,13.5631,13.6868,14.0832,14.3692,gnn_config2
5047,11.85,9.74,17.74,12.5055,10.6323,9.092,10.3837,9.3038,gnn_config3
5048,7.49,6.16,11.24,6.42,4.3719,4.5703,4.8308,4.5363,gnn_config2
5049,9.32,7.51,13.82,6.1533,4.6071,4.1301,4.2586,3.9087,gnn_config5
5050,4.2,3.46,5.98,5.5801,3.5256,3.3609,3.963,3.0079,gnn_config5
5051,136.76,126.77,235.81,95.4481,57.6963,54.9864,60.3291,56.8546,gnn_config3
5052,13.1,10.96,20.33,10.6325,8.55,8.4149,9.9201,8.6145,gnn_config3
5054,7.77,6.22,10.99,5.7144,3.7954,3.4989,3.6722,3.3497,gnn_config5
5055,26.82,21.72,37.03,29.2046,27.5101,25.3296,28.3657,23.6004,repeat_last
5061,15.18,14.1,25.87,16.4522,11.4816,11.0972,12.2084,10.6378,gnn_config5
5099,420.01,355.34,611.23,264.1233,251.5344,250.5082,228.7155,242.8504,gnn_config4
5100,460.77,410.9,741.21,844.3829,818.8546,814.9708,842.5183,931.0561,repeat_last
5101,55.59,44.38,69.92,45.4151,32.6161,32.4394,34.3699,37.8723,gnn_config3
5102,58.42,50.1,89.01,8.9751,3.8068,4.629,3.4133,4.1436,gnn_config4
5105,14.05,11.67,21.24,13.8082,12.7319,11.3743,13.487,11.787,gnn_config3
5108,82.73,53.3,137.76,47.204,43.0854,47.9288,46.1448,40.6052,gnn_config5
5109,6.45,6.04,10.95,7.4006,4.624,4.5985,5.2254,5.2628,gnn_config3
5114,10.95,9.97,18.2,9.7473,5.8936,5.3326,5.4422,6.1145,gnn_config3
5118,65.69,59.14,107.91,126.0994,61.7697,46.6764,53.7256,211.7436,gnn_config3
5119,1.58,1.53,2.65,6.699,2.283,2.9271,1.8294,2.4643,repeat_last
5120,8.24,8.01,14.89,9.5865,7.6472,7.5936,7.9255,10.1014,gnn_config3
5121,22.16,20.16,36.99,24.1986,21.0898,21.1427,21.5788,20.1617,repeat_last
5122,13.37,12.65,23.51,14.1346,9.736,10.4028,11.477,10.8976,gnn_config2
5125,174.12,164.28,303.41,193.5493,168.0129,150.3038,171.3657,169.547,gnn_config3
5126,201.64,180.37,327.9,181.7385,182.9504,177.4636,219.6442,183.5348,gnn_config3
5245,147.86,127.12,228.69,46.1897,53.7256,38.5722,48.0113,41.6812,gnn_config3
9847,57.48,55.43,102.34,32.3192,24.8029,26.1475,27.9258,26.0438,gnn_config2
10025,11.97,11.12,20.98,9.6849,7.5995,7.664,7.0389,7.565,gnn_config4
