,Jun,Jul,Aug,Sep,Oct,Nov,Dec,avg,std
3481,7.0153,7.115,7.2112,7.0071,6.8886,6.8029,6.9053,6.9922,0.1298
3572,2.8969,2.5039,2.2545,2.8987,3.1151,3.0603,3.0844,2.8305,0.3037
3576,4.233,3.5844,3.1496,5.5771,6.5974,43.4029,4.477,10.1459,13.6203
3628,2.954,2.8268,2.5342,3.4529,3.637,3.5461,3.6138,3.2235,0.4115
3684,2.2751,1.943,5.146,4.6263,2.4922,2.4255,2.5497,3.0654,1.1744
3685,4.5613,3.821,3.1543,4.4104,4.4399,4.4424,4.4989,4.1897,0.4806
3686,5.3219,4.1548,3.1344,5.4994,5.9766,5.4983,5.3114,4.9853,0.9138
5044,2.1029,1.8384,1.4601,1.9668,2.0751,2.2658,1.9341,1.949,0.2366
5045,3.7217,3.5979,3.9927,3.9802,4.2209,4.1645,4.1369,3.9735,0.2169
5046,3.7113,3.9815,4.738,3.7219,4.2082,3.6514,3.8108,3.9747,0.3589
5047,3.8397,2.9987,2.3778,3.8287,3.9429,3.753,3.7541,3.4993,0.5423
5048,2.9885,2.2583,1.8532,2.8526,3.0373,3.066,2.8013,2.6939,0.427
5049,2.7482,2.2973,1.8088,2.9044,3.1791,2.9379,3.001,2.6967,0.4436
5050,2.8826,2.4185,1.9257,2.9994,3.177,3.0058,2.9637,2.7675,0.4072
5051,7.4407,5.8065,5.2814,7.0908,4.8651,4.2285,4.3558,5.5813,1.1785
5052,3.9091,3.1668,2.4074,3.8131,4.1264,3.9917,4.1683,3.6547,0.5957
5054,3.1111,2.3991,1.9809,3.03,3.2659,3.2314,3.1327,2.8787,0.4554
5055,5.6784,4.4967,4.2316,5.5275,5.8417,5.8496,5.6916,5.331,0.6238
5061,3.2844,2.8258,2.5494,3.3871,3.4962,3.3332,3.6049,3.2116,0.3533
5099,11.4493,12.509,9.9543,13.5492,17.5336,53.7038,19.2,19.6999,14.2117
5100,40.9697,23.4774,30.8703,39.5142,28.9507,54.4393,16.1767,33.4855,11.7022
5101,19.2539,17.1475,3.5868,32.3926,8.7997,37.6595,20.4597,19.9,11.1426
5102,1.2736,1.2949,1.1673,1.2471,6.2155,41.4276,21.5112,10.591,14.336
5105,4.3868,3.7965,3.0755,4.5136,4.6623,4.6866,4.54,4.2373,0.5499
5108,3.9117,3.8848,5.2234,37.0195,10.2211,4.4413,4.459,9.8801,11.2687
5109,1.8788,1.6498,1.5166,1.9659,1.9772,1.991,2.9653,1.9921,0.4316
5114,2.5383,2.3065,2.0418,2.917,4.8579,65.9084,3.466,12.0051,22.0231
5118,21.0885,22.2371,24.1349,17.8498,17.8825,17.9109,17.8688,19.8532,2.4246
5119,0.8928,0.8541,0.8579,0.8565,0.8773,0.8532,0.8549,0.8638,0.0141
5120,1.655,1.6392,1.5151,1.6086,1.471,1.4927,1.5487,1.5615,0.0679
5121,4.1745,3.8253,3.9735,4.2744,4.2943,4.2706,4.4696,4.1832,0.2009
5122,3.1166,2.8944,2.7522,2.9539,3.0063,3.0253,2.9724,2.9602,0.106
5125,11.2753,10.4649,9.8792,12.8475,12.6539,12.2899,12.2068,11.6597,1.0584
5126,15.5208,14.0964,12.7324,18.6576,18.8519,17.3778,17.1017,16.3341,2.14
5245,9.659,6.3153,6.8431,7.33,8.249,7.4486,7.2461,7.5844,1.0074
9847,5.1778,4.7488,4.5006,5.803,5.6622,5.7356,5.6152,5.3204,0.4823
10025,2.937,2.7444,2.7916,2.8686,2.9338,2.7531,2.9417,2.8529,0.0822
