,Jun,Jul,Aug,Sep,Oct,Nov,Dec,avg,std
3481,66.74,65.43,62.19,70.99,71.35,66.31,70.82,67.69,3.21
3572,19.57,12.9,8.02,17.03,24.18,20.69,21.95,17.76,5.2
3576,34.6,21.21,14.01,61.91,124.81,2487.4,34.14,396.87,854.15
3628,16.85,15.95,9.86,26.93,30.75,25.4,26.99,21.82,7.05
3684,10.68,6.3,133.56,86.36,10.74,10.3,15.88,39.12,46.62
3685,28.38,20.26,14.78,25.65,26.58,27.78,27.61,24.43,4.68
3686,48.11,29.04,14.34,53.36,61.13,52.62,48.51,43.87,15.1
5044,6.37,8.75,3.43,5.3,8.31,9.82,5.54,6.79,2.09
5045,21.49,19.91,22.05,22.66,30.13,26.36,24.84,23.92,3.22
5046,20.41,21.23,26.55,22.25,34.03,20.19,22.97,23.95,4.57
5047,21.54,13.66,8.63,22.59,28.51,22.6,22.47,20.0,6.14
5048,13.58,7.79,5.31,12.79,15.53,14.44,12.26,11.67,3.45
5049,10.72,7.93,4.91,14.11,25.12,13.57,14.91,13.04,5.96
5050,10.74,7.93,5.63,11.85,14.71,12.04,11.8,10.67,2.77
5051,203.96,112.81,59.69,206.22,75.83,28.93,37.54,103.57,69.0
5052,22.4,17.83,8.6,21.76,28.66,23.5,34.73,22.5,7.6
5054,13.02,8.21,6.21,12.55,18.22,15.74,18.18,13.16,4.32
5055,47.58,28.24,23.64,46.03,54.02,53.08,48.09,42.96,11.16
5061,17.35,12.37,8.94,18.13,19.66,17.7,21.66,16.55,4.06
5099,304.18,336.18,189.26,418.22,689.88,3482.16,839.35,894.18,1077.38
5100,2338.91,1061.1,1432.18,2090.62,1346.01,3446.32,639.52,1764.95,871.02
5101,711.67,617.85,17.02,1273.42,291.24,1549.7,743.97,743.55,489.88
5102,2.76,4.35,2.04,2.8,315.44,1893.96,947.15,452.64,670.77
5105,29.15,20.71,15.7,29.55,31.67,31.32,30.34,26.92,5.73
5108,32.49,28.42,84.04,1568.86,510.21,37.49,36.67,328.31,531.68
5109,5.94,4.36,3.29,6.33,6.43,7.0,84.59,16.85,27.68
5114,9.62,8.42,6.05,13.95,150.86,5192.31,84.52,780.82,1801.69
5118,507.55,534.79,599.52,389.6,386.08,380.75,377.67,453.71,84.96
5119,1.16,1.01,0.99,1.05,1.36,1.02,1.04,1.09,0.12
5120,7.29,6.59,4.22,5.69,5.24,4.2,4.94,5.45,1.08
5121,28.61,23.2,20.97,29.32,33.19,28.45,32.09,27.97,4.11
5122,15.51,13.43,10.22,13.44,15.18,14.82,13.78,13.77,1.64
5125,183.44,152.62,134.09,244.93,256.91,230.9,231.18,204.87,44.53
5126,326.06,277.42,229.62,459.66,502.82,407.97,399.62,371.88,91.17
5245,241.94,50.12,50.44,123.93,188.77,128.3,113.02,128.07,64.36
9847,42.41,35.06,30.78,51.89,50.85,51.47,49.18,44.52,7.99
10025,13.16,10.73,9.99,14.18,15.06,12.37,14.02,12.79,1.73
