,Jun,Jul,Aug,Sep,Oct,Nov,Dec,avg,std
3481,65.06,58.41,41.33,71.91,76.98,68.24,73.57,65.07,11.21
3572,21.3,13.04,6.26,18.57,26.31,22.31,23.6,18.77,6.42
3576,37.94,21.15,10.03,68.03,134.12,2606.12,36.13,416.22,894.84
3628,19.39,17.09,7.59,30.34,34.98,29.04,30.42,24.12,8.99
3684,11.24,6.58,135.85,89.24,11.85,11.42,17.01,40.45,47.35
3685,30.29,20.42,12.6,26.99,28.12,29.11,28.96,25.21,5.96
3686,59.45,35.03,12.2,65.26,75.64,64.72,59.21,53.07,20.24
5044,6.49,8.82,3.16,5.38,8.43,9.99,5.65,6.85,2.19
5045,19.06,16.45,17.16,21.32,29.37,25.3,23.69,21.76,4.33
5046,14.2,12.05,14.36,18.28,33.31,16.09,19.24,18.22,6.57
5047,23.48,13.93,6.77,24.38,30.57,24.21,23.95,21.04,7.37
5048,13.34,7.92,5.85,12.58,15.22,14.25,12.17,11.62,3.18
5049,11.41,8.03,4.14,14.76,26.13,14.33,15.71,13.5,6.42
5050,10.57,8.03,6.08,11.61,14.41,11.86,11.7,10.61,2.55
5051,225.81,114.04,47.88,224.15,79.38,25.73,32.65,107.09,79.54
5052,24.19,18.57,7.51,23.41,30.91,25.3,37.06,23.85,8.63
5054,13.43,8.14,5.57,12.9,18.76,16.18,18.51,13.36,4.66
5055,57.49,27.39,11.09,55.01,65.2,62.27,56.18,47.81,18.87
5061,21.51,13.98,6.67,22.05,24.16,21.39,25.95,19.39,6.24
5099,347.03,387.91,182.4,504.01,834.92,4190.05,1004.7,1064.43,1303.3
5100,2659.02,1291.47,1820.87,2687.49,1846.89,4334.15,730.96,2195.84,1085.93
5101,786.32,694.12,8.17,1453.27,324.21,1807.65,884.47,851.17,572.67
5102,3.45,4.89,1.91,3.4,324.83,1975.8,1012.13,475.2,702.35
5105,29.92,21.06,13.9,30.54,33.05,32.41,31.29,27.45,6.66
5108,33.54,25.83,82.64,1691.69,537.35,35.66,34.3,348.72,574.51
5109,7.15,4.81,2.51,7.35,7.48,8.19,87.42,17.85,28.46
5114,9.7,8.39,5.82,14.1,151.5,5214.59,84.9,784.14,1809.43
5118,347.18,321.35,319.04,207.54,198.22,171.8,163.45,246.94,73.02
5119,1.36,0.93,0.72,1.08,1.43,1.02,0.99,1.08,0.23
5120,7.14,6.33,3.39,5.61,5.11,4.03,4.91,5.22,1.19
5121,30.13,19.2,10.57,30.14,34.44,29.11,32.99,26.65,7.98
5122,16.14,12.78,7.23,13.2,15.41,15.17,13.82,13.39,2.76
5125,192.5,147.12,113.11,262.25,268.99,242.3,242.05,209.76,55.97
5126,331.01,277.48,218.17,474.58,516.9,417.27,406.57,377.43,99.17
5245,264.88,19.52,8.75,123.52,204.21,133.62,108.82,123.33,85.19
9847,42.15,34.58,29.32,52.23,51.33,51.92,49.28,44.4,8.61
10025,11.76,8.03,3.97,15.14,15.24,11.6,13.99,11.39,3.82
