,Jun,Jul,Aug,Sep,Oct,Nov,Dec,avg,std
3481,5.9698,6.0609,4.9314,5.7977,5.9972,6.2659,6.1122,5.8764,0.4078
3572,2.7101,2.2153,1.6888,2.6472,2.8748,2.8061,2.8098,2.536,0.4011
3576,3.4183,2.6971,1.9328,4.2097,4.2323,,3.3462,3.3061,0.8109
3628,2.8153,2.6222,1.9382,3.2957,3.6706,3.1747,3.3525,2.9813,0.5337
3684,1.8788,1.6557,5.6291,4.7961,1.9759,1.9915,2.0418,2.8527,1.5135
3685,2.7679,2.3956,2.1371,2.6077,2.6919,2.7368,2.6737,2.5729,0.211
3686,4.2468,3.4219,2.2475,4.375,4.4357,4.1058,3.8464,3.8113,0.7154
5044,1.3264,1.3865,1.0372,1.2336,1.5196,1.7646,1.2978,1.3665,0.212
5045,1.9018,1.6619,1.4382,1.9942,2.3011,2.2051,2.0488,1.9359,0.2793
5046,2.3629,2.0994,1.8031,2.8412,3.3948,2.8263,2.951,2.6112,0.5078
5047,2.2648,1.8952,1.4159,2.3824,2.5458,2.3587,2.3119,2.1678,0.3576
5048,1.9443,1.4694,1.2124,1.9358,2.1564,2.0242,1.8528,1.7993,0.3103
5049,1.6491,1.3968,1.13,1.8284,2.1827,1.7738,1.8419,1.6861,0.3147
5050,1.4947,1.297,1.2058,1.562,1.6497,1.5626,1.5265,1.4712,0.1478
5051,7.7753,5.4212,3.031,7.8717,2.9624,2.4759,2.4656,4.5719,2.2573
5052,2.5586,2.16,1.8113,2.5847,2.7834,2.5417,2.6364,2.4394,0.3106
5054,1.7536,1.4631,1.2567,1.8253,2.1025,1.9256,1.9048,1.7474,0.27
5055,3.9314,3.0308,2.3313,3.9339,4.03,4.0082,3.7882,3.5791,0.6023
5061,2.7961,2.4057,1.868,2.8819,2.9473,2.7559,3.0273,2.6689,0.3753
5099,9.8864,10.8825,7.2667,13.091,16.1119,,12.5842,11.6371,2.7619
5100,20.2952,14.7576,18.1475,18.3477,17.0572,,3.8385,15.4073,5.4318
5101,3.1346,2.5316,1.773,5.9029,3.4455,7.9167,3.6728,4.0538,1.9719
5102,1.4261,1.4388,1.2191,1.3141,1.3908,15.75,1.563,3.4431,5.0252
5105,2.7003,2.4697,1.7669,2.8675,2.8991,2.8168,2.7511,2.6102,0.3686
5108,3.4328,3.0429,2.3084,12.1,3.8607,3.4991,3.4225,4.5238,3.1258
5109,1.8368,1.6416,1.3,1.9599,1.8669,1.9659,1.9098,1.783,0.2217
5114,2.1347,1.9629,1.6691,2.487,2.7733,,2.1569,2.1973,0.3548
5118,5.3775,4.3687,2.8027,6.4571,6.0334,5.4286,5.7062,5.1677,1.1368
5119,0.9238,0.8619,0.8374,0.8717,0.9878,0.9018,0.874,0.8941,0.0461
5120,1.6843,1.5863,1.2023,1.535,1.503,1.3972,1.5493,1.4939,0.1435
5121,3.1361,2.5951,1.9493,3.2147,3.2776,3.1342,3.3204,2.9468,0.4645
5122,2.6653,2.4685,1.8282,2.5069,2.5233,2.6026,2.4398,2.4335,0.2573
5125,9.8855,9.0549,8.568,10.9433,10.2494,10.0522,10.0923,9.8351,0.7299
5126,10.6108,10.2602,10.1403,11.0775,11.5595,10.8995,10.9524,10.7857,0.4548
5245,8.5482,2.6472,1.5229,6.1569,7.7792,6.5955,4.9926,5.4632,2.4001
9847,5.3085,4.876,4.4451,5.8216,5.8049,5.5806,5.562,5.3427,0.4739
10025,2.1183,1.8684,1.3969,2.4995,2.4203,2.2174,2.3273,2.1212,0.3531
