,Jun,Jul,Aug,Sep,Oct,Nov,Dec,avg,std
3481,112.26,107.72,89.42,131.47,127.29,117.46,126.4,116.0,13.45
3572,29.1,22.99,10.72,30.1,38.63,34.92,36.9,29.05,8.96
3576,56.94,35.83,15.2,111.33,85.33,,58.54,60.53,31.3
3628,32.21,31.3,13.89,52.47,48.17,43.43,57.69,39.88,13.96
3684,16.38,10.07,294.99,173.99,16.64,16.11,22.0,78.6,103.81
3685,39.2,29.35,17.25,36.97,40.12,41.77,38.0,34.66,8.01
3686,65.25,45.65,20.89,81.87,77.87,76.5,71.97,62.86,20.42
5044,9.38,19.5,4.09,7.08,13.99,16.24,6.92,11.03,5.22
5045,23.47,17.72,10.74,28.46,35.46,34.14,31.0,25.86,8.4
5046,22.79,18.71,19.48,31.35,44.25,27.73,36.74,28.72,8.74
5047,28.06,18.8,9.33,34.09,35.27,32.56,31.85,27.14,8.89
5048,19.57,10.97,5.34,19.18,21.22,21.42,19.12,16.69,5.67
5049,12.55,10.33,5.11,19.29,34.45,19.99,21.94,17.67,8.83
5050,12.99,9.99,6.56,15.21,18.22,14.42,13.75,13.02,3.49
5051,394.61,238.84,103.26,385.98,43.47,39.47,60.94,180.94,146.58
5052,32.99,22.53,11.43,33.12,40.74,35.2,40.71,30.96,9.78
5054,16.26,11.94,6.79,17.61,23.63,23.4,31.53,18.74,7.61
5055,71.62,37.98,17.29,77.34,81.74,91.56,78.92,65.21,25.02
5061,26.84,20.34,12.24,28.67,30.17,28.25,37.04,26.22,7.3
5099,472.54,527.16,341.93,627.23,896.49,,683.15,591.42,174.77
5100,1074.56,762.64,942.15,881.78,743.32,,71.3,745.96,321.55
5101,60.37,34.64,13.61,106.89,69.37,,81.94,61.14,30.43
5102,5.73,8.3,3.73,6.33,4.84,,6.08,5.83,1.4
5105,39.45,29.86,14.92,44.24,47.61,44.26,44.0,37.76,10.74
5108,59.09,46.24,25.93,,73.67,60.6,63.12,54.77,15.19
5109,9.74,7.43,4.44,11.3,10.79,12.03,12.71,9.78,2.7
5114,15.24,14.18,8.72,25.09,58.27,,16.28,22.96,16.51
5118,122.52,86.73,30.23,188.5,178.22,130.62,150.61,126.78,50.69
5119,2.27,1.84,1.48,2.03,3.36,1.93,2.06,2.14,0.55
5120,14.38,13.43,6.65,10.15,8.77,6.97,9.08,9.92,2.77
5121,44.82,32.27,15.55,46.07,56.15,47.6,53.95,42.34,13.05
5122,26.77,21.32,11.47,22.96,26.62,25.47,21.88,22.36,4.89
5125,310.45,241.63,196.39,415.72,331.4,346.9,318.53,308.72,66.16
5126,500.97,431.21,348.43,661.29,653.41,568.08,557.58,531.57,105.71
5245,380.24,34.48,7.05,228.22,369.16,240.49,198.26,208.27,135.06
9847,76.02,63.9,51.41,98.2,96.24,94.11,92.61,81.78,17.0
10025,18.48,14.01,6.85,26.47,21.17,20.22,24.24,18.78,6.12
