,Jun,Jul,Aug,Sep,Oct,Nov,Dec,avg,std
3481,5.6928,5.7187,4.7937,5.5231,5.6997,5.8793,5.891,5.5998,0.3487
3572,2.5667,2.0546,1.5876,2.3918,2.6104,2.6354,2.5697,2.3452,0.3615
3576,3.0083,2.4196,1.7831,3.6334,3.5452,,2.9526,2.8904,0.6385
3628,2.3645,2.3413,1.794,2.7949,2.9799,2.6976,2.8543,2.5466,0.3796
3684,1.6486,1.4968,4.182,3.7649,1.7032,1.7488,1.7479,2.3275,1.0499
3685,2.3225,2.1075,1.9362,2.2326,2.2303,2.2892,2.3169,2.205,0.1291
3686,3.7315,3.0442,2.1226,3.8443,3.8785,3.6367,3.5017,3.3942,0.5807
5044,1.121,1.2305,0.9511,1.0514,1.2959,1.5121,1.1239,1.1837,0.1698
5045,1.5039,1.4041,1.2184,1.5749,1.7473,1.7182,1.6219,1.5412,0.1715
5046,2.0726,1.9623,1.6781,2.3677,2.9582,2.4102,2.5959,2.2922,0.3945
5047,1.8367,1.5852,1.2236,1.9288,1.9849,1.894,1.8696,1.7604,0.2488
5048,1.6212,1.2857,1.0571,1.5264,1.7137,1.5898,1.4859,1.4685,0.2086
5049,1.388,1.2013,1.0228,1.5053,1.7136,1.4362,1.5089,1.3966,0.2085
5050,1.1975,1.0948,1.0588,1.2483,1.3408,1.2532,1.2474,1.2058,0.091
5051,6.8037,4.9048,2.6969,6.641,2.2959,1.8634,1.8619,3.8668,2.0448
5052,2.1355,1.8996,1.5993,2.1712,2.2758,2.0907,2.2041,2.0537,0.2152
5054,1.4232,1.2229,1.0718,1.4548,1.6429,1.5287,1.4736,1.4026,0.1787
5055,3.1472,2.6175,2.0852,3.1449,3.2185,3.1983,3.0816,2.9276,0.3933
5061,2.5326,2.2714,1.7528,2.6257,2.7226,2.5023,2.6819,2.4413,0.3131
5099,8.2432,8.7953,6.3421,10.8647,13.2961,7.25,9.9612,9.2504,2.1765
5100,17.8025,12.8012,16.3328,16.7929,15.6941,10.0,3.0461,13.2099,4.8348
5101,3.2257,2.9768,1.5715,7.033,2.8133,9.9483,3.3261,4.4135,2.7462
5102,1.3357,1.3993,1.2032,1.2846,1.4063,12.4628,2.1547,3.0352,3.8599
5105,2.2543,2.053,1.5156,2.3479,2.3712,2.2572,2.3079,2.1582,0.2795
5108,3.029,2.8813,2.2669,10.2577,3.5977,3.1521,3.1546,4.0485,2.5617
5109,1.6456,1.4935,1.277,1.7606,1.7521,1.772,1.7715,1.6389,0.1753
5114,1.8471,1.7564,1.5344,2.1598,2.4971,8.75,1.98,2.9321,2.392
5118,4.7833,3.9203,2.6131,5.581,5.2364,4.7204,4.9384,4.5418,0.9193
5119,0.9137,0.8599,0.8184,0.8673,0.9376,0.8585,0.8693,0.8749,0.0363
5120,1.6109,1.5312,1.1636,1.4649,1.396,1.3807,1.4855,1.4333,0.1319
5121,2.8113,2.3446,1.8106,2.8634,2.8843,2.6909,2.8989,2.6149,0.374
5122,2.4633,2.2532,1.7511,2.2998,2.3611,2.4717,2.2448,2.2636,0.2259
5125,9.0889,8.4599,8.2144,10.1644,9.5488,9.765,9.6909,9.276,0.6658
5126,9.4825,9.3,9.3899,9.6429,9.9291,9.8418,9.8855,9.6388,0.2353
5245,6.8729,2.4625,1.3889,5.1957,6.3953,5.5269,4.2218,4.5806,1.8755
9847,4.8784,4.5229,4.3649,5.3789,5.5004,5.2767,5.3231,5.0351,0.4161
10025,1.9265,1.7155,1.3131,2.2626,2.1653,1.9973,2.0763,1.9224,0.2972
