,Jun,Jul,Aug,Sep,Oct,Nov,Dec,avg,std
3481,100.74,101.24,82.25,112.77,106.78,109.59,110.4,103.4,9.61
3572,25.85,19.29,9.44,25.25,33.53,30.14,31.27,24.97,7.69
3576,40.57,24.46,10.53,73.59,60.3,,41.48,41.82,20.95
3628,24.48,24.44,12.22,35.69,36.51,32.69,45.39,30.2,9.97
3684,14.01,7.8,209.08,134.09,13.26,14.15,15.8,58.31,74.43
3685,23.74,17.41,11.71,22.01,23.77,26.41,23.24,21.18,4.62
3686,50.43,34.7,15.78,59.14,55.38,55.61,50.94,46.0,14.33
5044,5.67,14.24,2.8,4.28,10.23,12.57,4.81,7.8,4.16
5045,13.63,9.71,6.44,15.55,23.92,20.6,17.92,15.4,5.63
5046,17.14,14.83,15.59,25.18,35.01,23.22,30.47,23.07,7.18
5047,17.24,11.73,5.9,21.8,25.42,22.57,20.3,17.85,6.34
5048,12.81,6.89,3.58,13.01,13.35,14.24,12.48,10.91,3.73
5049,8.34,6.94,3.56,15.88,26.88,13.56,16.71,13.12,7.2
5050,7.36,5.34,4.23,8.45,11.77,8.38,8.37,7.7,2.26
5051,340.2,212.68,97.69,347.08,25.75,24.99,43.79,156.02,132.97
5052,20.21,14.0,7.97,21.22,27.08,21.66,28.7,20.12,6.66
5054,9.8,6.84,4.34,10.98,15.74,16.17,21.99,12.27,5.63
5055,47.72,26.95,13.11,49.68,52.8,60.11,50.59,43.0,15.42
5061,21.47,15.83,10.35,22.87,23.18,21.85,28.25,20.54,5.35
5099,411.61,449.03,284.27,505.14,764.41,,568.13,497.1,148.03
5100,828.57,566.68,689.73,666.92,594.52,,59.0,567.57,242.31
5101,37.87,21.37,9.09,72.58,47.26,,58.16,41.06,21.38
5102,4.7,8.43,3.42,4.99,4.11,,4.95,5.1,1.58
5105,24.94,18.25,9.15,27.0,29.59,27.29,27.73,23.42,6.73
5108,48.11,37.9,21.66,,58.33,49.82,50.08,44.31,11.75
5109,8.11,6.17,3.79,8.85,8.88,10.52,9.96,8.04,2.16
5114,10.87,10.48,6.65,18.31,37.73,,12.86,16.15,10.26
5118,90.38,64.64,23.34,136.83,130.49,91.76,119.05,93.78,37.16
5119,1.94,1.57,1.34,1.7,3.07,1.74,1.87,1.89,0.52
5120,14.3,12.55,6.09,8.85,10.33,6.49,7.95,9.51,2.84
5121,33.16,24.0,12.92,34.16,40.92,33.93,40.73,31.4,9.19
5122,19.8,16.81,9.41,17.65,19.87,19.42,16.78,17.11,3.38
5125,218.02,176.77,155.47,293.05,236.03,251.98,234.65,223.71,42.71
5126,307.77,268.76,241.94,372.51,379.86,336.62,334.26,320.25,47.34
5245,309.35,27.62,5.66,199.75,303.74,207.01,175.98,175.59,111.26
9847,62.58,50.79,42.51,78.42,76.65,74.47,75.98,65.91,13.28
10025,14.77,11.17,5.96,22.05,19.25,17.28,20.05,15.79,5.22
