,Jun,Jul,Aug,Sep,Oct,Nov,Dec,avg,std
3481,4.6413,4.5808,4.5682,4.4658,4.6448,4.8094,4.7912,4.6431,0.1137
3572,1.9667,1.7636,1.8308,1.9097,2.1326,2.135,2.1725,1.9873,0.1503
3576,2.5882,2.2764,2.6161,3.5666,4.618,44.5738,3.6667,9.1294,14.4895
3628,1.9659,2.0372,2.2283,2.4161,2.5104,2.3951,2.6206,2.3105,0.2251
3684,1.3821,1.2162,4.7779,3.6649,1.5569,1.5301,1.8039,2.276,1.2766
3685,2.289,2.1099,2.6733,2.1114,2.2398,2.279,2.3671,2.2956,0.1771
3686,3.5738,3.2951,3.8642,3.5831,3.8173,3.6701,3.751,3.6507,0.1776
5044,1.0709,1.1694,1.3198,1.0061,1.211,1.3751,1.0878,1.1771,0.125
5045,2.1307,2.2012,3.0722,1.9836,2.6589,3.1111,3.0373,2.5993,0.4533
5046,2.4373,2.8886,3.5845,2.3661,3.0165,2.2643,2.5214,2.7255,0.4335
5047,1.9618,1.6314,2.1217,1.9514,2.1017,1.9575,2.0768,1.9717,0.1544
5048,1.584,1.2614,1.6229,1.4905,1.664,1.5841,1.5731,1.54,0.1238
5049,1.3617,1.1646,1.5211,1.4301,1.7144,1.4572,1.5467,1.4565,0.1575
5050,1.2752,1.0823,1.4933,1.3429,1.4861,1.3278,1.3618,1.3385,0.1288
5051,9.4495,9.0229,8.6869,7.1451,4.38,2.8359,2.8396,6.3371,2.7097
5052,2.0975,1.8812,2.2402,2.0995,2.3183,2.2683,2.717,2.2317,0.2399
5054,1.528,1.1844,1.5772,1.4758,1.6763,1.5522,1.6259,1.5171,0.1486
5055,4.0183,2.7217,2.7863,3.9938,3.7859,3.5049,3.4376,3.4641,0.4934
5061,2.1244,1.9998,2.2907,2.1843,2.3099,2.1846,2.487,2.2258,0.1436
5099,13.2347,14.2213,12.3177,14.7609,18.4724,50.1056,20.0935,20.458,12.38
5100,36.4021,21.5628,23.2386,28.2874,22.6473,40.5697,28.4661,28.7391,6.7383
5101,17.7609,16.0532,9.6108,28.1716,12.0555,29.6475,19.0792,18.9112,7.0106
5102,1.0197,1.0308,1.0176,0.9996,5.733,40.8839,20.0279,10.1018,14.1183
5105,2.607,2.4505,3.2861,2.35,2.4588,2.475,2.55,2.5968,0.2912
5108,2.5067,2.7809,4.3844,38.5047,7.464,3.6304,3.6074,8.9827,12.1475
5109,1.3256,1.2108,1.294,1.367,1.3932,1.3942,2.3766,1.4802,0.3708
5114,1.5201,1.522,1.6572,1.7984,3.7713,63.115,3.161,10.935,21.3184
5118,9.9434,10.926,12.1584,8.5055,8.9978,9.7761,9.1939,9.9287,1.1602
5119,0.7077,0.7255,0.7833,0.7219,0.737,0.7194,0.7152,0.73,0.0233
5120,2.0222,2.1498,2.0819,1.4563,1.1607,1.0529,1.1673,1.5844,0.449
5121,3.4926,3.9945,4.368,2.7645,2.6393,2.4307,2.6905,3.1972,0.7007
5122,2.4172,2.5728,2.7434,2.134,1.9786,1.9913,1.9244,2.2517,0.3013
5125,7.1729,6.8517,7.8879,8.1105,8.3846,7.9215,8.0653,7.7706,0.5095
5126,8.097,7.7913,8.9683,9.313,10.2628,8.4756,8.9829,8.8416,0.7625
5245,8.3351,6.2543,6.4549,5.1793,6.0297,5.1869,4.8274,6.0382,1.097
9847,4.0342,3.7221,3.7264,4.3154,4.3262,4.1847,4.3076,4.0881,0.2489
10025,1.9262,1.9379,2.1108,2.1535,2.142,1.9682,2.022,2.0372,0.0903
