,Jun,Jul,Aug,Sep,Oct,Nov,Dec,avg,std
3481,46.51,45.17,38.94,47.65,50.15,47.51,48.93,46.41,3.39
3572,12.34,8.11,6.13,10.02,16.15,12.79,13.99,11.36,3.22
3576,17.61,9.82,10.58,32.92,82.68,2585.89,21.1,394.37,894.99
3628,9.35,9.74,8.28,16.83,19.69,14.06,15.72,13.38,4.02
3684,5.81,3.0,126.88,75.9,5.03,4.82,11.57,33.29,45.24
3685,8.82,7.12,10.58,7.53,8.31,9.41,9.09,8.69,1.09
3686,21.36,16.33,20.54,23.01,25.68,23.03,22.01,21.71,2.66
5044,2.14,7.16,2.44,1.69,4.32,5.97,2.06,3.68,2.01
5045,6.71,6.88,12.67,5.97,14.44,14.45,12.98,10.59,3.58
5046,9.32,12.25,18.13,13.3,25.16,9.56,13.01,14.39,5.16
5047,7.82,4.91,6.14,8.63,13.9,8.56,8.6,8.37,2.62
5048,5.38,2.99,3.84,5.11,6.78,5.2,4.7,4.86,1.11
5049,3.58,2.71,3.29,5.85,15.95,4.67,5.82,5.98,4.22
5050,2.62,1.83,3.19,2.95,4.85,2.87,3.01,3.05,0.84
5051,179.93,140.62,124.46,188.13,67.8,14.5,21.39,105.26,66.27
5052,8.21,8.21,7.32,8.07,12.29,8.37,19.85,10.33,4.17
5054,4.21,2.44,3.61,4.04,8.55,5.59,8.79,5.32,2.29
5055,29.96,13.54,12.54,29.37,28.48,24.03,21.64,22.79,6.77
5061,8.63,6.7,7.97,9.12,10.22,8.89,11.26,8.97,1.37
5099,304.9,345.68,225.56,425.58,648.35,3066.62,715.17,818.84,932.5
5100,1852.84,724.45,814.71,1133.28,729.81,1959.63,885.06,1157.11,491.31
5101,581.12,456.65,96.72,961.97,275.02,962.08,451.1,540.67,302.24
5102,1.98,2.8,1.74,1.95,303.73,1844.43,733.46,412.87,636.84
5105,11.14,9.16,15.45,9.82,10.59,10.77,11.16,11.16,1.88
5108,21.64,19.56,86.18,1694.57,367.69,25.57,24.71,319.99,573.16
5109,3.41,2.54,2.59,3.67,3.83,4.26,84.67,14.99,28.45
5114,4.18,4.16,4.23,6.81,141.41,4836.36,65.83,723.28,1679.83
5118,131.11,149.94,180.03,111.46,133.27,153.24,141.16,142.89,19.85
5119,0.79,0.82,0.91,0.82,1.12,0.8,0.81,0.87,0.11
5120,8.09,8.16,6.22,5.03,4.34,3.15,4.02,5.57,1.83
5121,18.65,21.35,24.32,14.71,18.6,13.01,16.49,18.16,3.58
5122,9.31,10.15,10.38,8.09,8.77,8.37,7.44,8.93,1.0
5125,90.3,77.43,102.92,123.56,147.01,120.09,123.05,112.05,21.7
5126,110.84,101.29,134.88,147.57,195.0,122.68,135.86,135.45,28.36
5245,203.72,59.48,60.47,94.56,153.27,99.08,80.82,107.34,49.02
9847,30.9,24.22,23.47,35.91,36.11,34.48,34.91,31.43,5.06
10025,7.38,6.47,7.03,9.99,10.5,7.96,8.42,8.25,1.39
