Sensor,Average 1,Standard Deviation 1,Average 2,Standard Deviation 2
3481,4.6431,0.1137,4.6286,0.1195
3572,1.9873,0.1503,1.9728,0.153
3576,9.1294,14.4895,9.0965,14.4932
3628,2.3105,0.2251,2.2952,0.2268
3684,2.276,1.2766,2.2785,1.2761
3685,2.2956,0.1771,2.2766,0.179
3686,3.6507,0.1776,3.6264,0.1766
5044,1.1771,0.125,1.1632,0.127
5045,2.5993,0.4533,2.5991,0.4655
5046,2.7255,0.4335,2.7142,0.4386
5047,1.9717,0.1544,1.9596,0.1583
5048,1.54,0.1238,1.5223,0.1294
5049,1.4565,0.1575,1.4623,0.1556
5050,1.3385,0.1288,1.3323,0.1314
5051,6.3371,2.7097,6.3263,2.7156
5052,2.2317,0.2399,2.2149,0.2435
5054,1.5171,0.1486,1.5083,0.151
5055,3.4641,0.4934,3.451,0.4919
5061,2.2258,0.1436,2.2167,0.1444
5099,20.458,12.38,20.4785,12.4189
5100,28.7391,6.7383,28.7225,6.7963
5101,18.9112,7.0106,18.9279,6.9807
5102,10.1018,14.1183,10.0972,14.1173
5105,2.5968,0.2912,2.6005,0.2889
5108,8.9827,12.1475,8.9683,12.1521
5109,1.4802,0.3708,1.479,0.367
5114,10.935,21.3184,10.937,21.3187
5118,9.9287,1.1602,9.9406,1.1694
5119,0.73,0.0233,0.7286,0.0242
5120,1.5844,0.449,1.5829,0.4485
5121,3.1972,0.7007,3.198,0.6943
5122,2.2517,0.3013,2.2482,0.3015
5125,7.7706,0.5095,7.7436,0.5167
5126,8.8416,0.7625,8.8165,0.7519
5245,6.0382,1.097,6.0812,1.0805
9847,4.0881,0.2489,4.0831,0.2382
10025,2.0372,0.0903,2.0295,0.0859
