Sensor,Average 1,Standard Deviation 1,Average 2,Standard Deviation 2
3481,46.41,3.39,46.18,3.53
3572,11.36,3.22,11.29,3.19
3576,394.37,894.99,393.14,892.73
3628,13.38,4.02,13.29,4.05
3684,33.29,45.24,33.33,45.29
3685,8.69,1.09,8.59,1.06
3686,21.71,2.66,21.46,2.66
5044,3.68,2.01,3.65,2.02
5045,10.59,3.58,10.52,3.63
5046,14.39,5.16,14.26,5.13
5047,8.37,2.62,8.3,2.6
5048,4.86,1.11,4.81,1.13
5049,5.98,4.22,5.98,4.21
5050,3.05,0.84,3.03,0.84
5051,105.26,66.27,105.23,66.24
5052,10.33,4.17,10.25,4.21
5054,5.32,2.29,5.31,2.31
5055,22.79,6.77,22.72,6.86
5061,8.97,1.37,8.92,1.37
5099,818.84,932.5,822.35,934.8
5100,1157.11,491.31,1156.31,494.02
5101,540.67,302.24,540.69,301.5
5102,412.87,636.84,412.66,636.52
5105,11.16,1.88,11.12,1.82
5108,319.99,573.16,320.25,573.64
5109,14.99,28.45,14.96,28.41
5114,723.28,1679.83,723.3,1679.89
5118,142.89,19.85,143.35,20.19
5119,0.87,0.11,0.86,0.11
5120,5.57,1.83,5.57,1.83
5121,18.16,3.58,18.1,3.5
5122,8.93,1.0,8.91,1.0
5125,112.05,21.7,111.55,21.84
5126,135.45,28.36,134.58,28.3
5245,107.34,49.02,107.34,49.08
9847,31.43,5.06,31.81,5.03
10025,8.25,1.39,8.21,1.37
