Sensor,Jun,Jul,Aug,Sep,Oct,Nov,Dec,avg,std
3481,4.6282,4.5533,4.5306,4.4601,4.6381,4.8145,4.7756,4.6286,0.1195
3572,1.9516,1.7421,1.8181,1.8936,2.1151,2.1263,2.163,1.9728,0.153
3576,2.5521,2.2323,2.5824,3.5166,4.5866,44.5495,3.6559,9.0965,14.4932
3628,1.9449,2.0194,2.2217,2.3993,2.4924,2.378,2.6105,2.2952,0.2268
3684,1.3829,1.2043,4.7766,3.6686,1.5746,1.5368,1.8057,2.2785,1.2761
3685,2.251,2.0937,2.6668,2.0996,2.2336,2.2505,2.3413,2.2766,0.179
3686,3.5587,3.2691,3.8404,3.5663,3.7784,3.6292,3.7428,3.6264,0.1766
5044,1.0489,1.1494,1.3071,0.9909,1.2069,1.3628,1.0761,1.1632,0.127
5045,2.0949,2.2035,3.06,1.9723,2.6722,3.1319,3.0587,2.5991,0.4655
5046,2.4189,2.8905,3.5831,2.358,2.9973,2.2395,2.512,2.7142,0.4386
5047,1.9391,1.6153,2.1191,1.9273,2.0895,1.9535,2.0734,1.9596,0.1583
5048,1.5632,1.2307,1.6005,1.4689,1.6522,1.5767,1.5636,1.5223,0.1294
5049,1.3697,1.167,1.5376,1.4363,1.7051,1.4672,1.5535,1.4623,0.1556
5050,1.265,1.0737,1.4978,1.3349,1.4782,1.3188,1.3577,1.3323,0.1314
5051,9.4626,9.0192,8.6799,7.0969,4.4,2.8222,2.8034,6.3263,2.7156
5052,2.0723,1.8671,2.2034,2.081,2.3163,2.2554,2.7086,2.2149,0.2435
5054,1.5196,1.1709,1.5689,1.4635,1.661,1.541,1.6335,1.5083,0.151
5055,4.0089,2.7165,2.7734,3.972,3.78,3.4974,3.4089,3.451,0.4919
5061,2.1074,1.9871,2.2835,2.1823,2.3017,2.1795,2.4754,2.2167,0.1444
5099,13.254,14.119,12.3238,14.9091,18.3853,50.2266,20.1317,20.4785,12.4189
5100,36.5089,21.5624,23.2227,28.2404,22.4609,40.6247,28.4371,28.7225,6.7963
5101,17.9123,16.0352,9.6255,28.1529,12.0782,29.5635,19.1275,18.9279,6.9807
5102,1.0164,1.0203,1.0134,0.9952,5.7315,40.8731,20.0304,10.0972,14.1173
5105,2.6187,2.437,3.2832,2.355,2.4882,2.4777,2.5437,2.6005,0.2889
5108,2.4923,2.775,4.3704,38.5059,7.4097,3.6185,3.6065,8.9683,12.1521
5109,1.3231,1.2131,1.2965,1.3671,1.3923,1.3949,2.3662,1.479,0.367
5114,1.531,1.521,1.6475,1.7965,3.7772,63.1176,3.1683,10.937,21.3187
5118,9.9478,10.9395,12.1824,8.4809,9.0144,9.8174,9.2017,9.9406,1.1694
5119,0.7038,0.7232,0.7833,0.7199,0.7371,0.7172,0.7155,0.7286,0.0242
5120,2.0184,2.1478,2.0803,1.4573,1.1583,1.051,1.1673,1.5829,0.4485
5121,3.497,3.9877,4.3569,2.7675,2.6495,2.4476,2.6794,3.198,0.6943
5122,2.4132,2.5709,2.7382,2.1348,1.9697,1.9916,1.9188,2.2482,0.3015
5125,7.1452,6.809,7.7998,8.1026,8.35,7.9417,8.0572,7.7436,0.5167
5126,8.102,7.7384,8.8945,9.2605,10.2216,8.5279,8.9703,8.8165,0.7519
5245,8.3357,6.3446,6.4834,5.2499,6.0479,5.2166,4.8902,6.0812,1.0805
9847,4.035,3.7372,3.731,4.2891,4.3219,4.1772,4.2905,4.0831,0.2382
10025,1.9342,1.9255,2.1008,2.1359,2.1361,1.9729,2.0011,2.0295,0.0859
