Sensor,Jun,Jul,Aug,Sep,Oct,Nov,Dec,avg,std
3481,46.61,44.84,38.36,47.31,50.16,47.38,48.59,46.18,3.53
3572,12.29,8.1,6.08,9.92,16.03,12.72,13.87,11.29,3.19
3576,17.44,9.52,10.29,32.35,82.37,2579.12,20.88,393.14,892.73
3628,9.21,9.59,8.22,16.75,19.66,13.96,15.68,13.29,4.05
3684,5.82,2.99,127.02,75.97,5.1,4.85,11.54,33.33,45.29
3685,8.63,7.07,10.49,7.51,8.21,9.33,8.93,8.59,1.06
3686,21.2,16.07,20.28,22.81,25.42,22.58,21.87,21.46,2.66
5044,2.08,7.14,2.41,1.65,4.31,5.94,2.03,3.65,2.02
5045,6.52,6.79,12.52,5.88,14.27,14.53,13.12,10.52,3.63
5046,9.15,12.17,18.13,13.25,24.84,9.32,12.95,14.26,5.13
5047,7.78,4.83,6.08,8.53,13.77,8.55,8.56,8.3,2.6
5048,5.33,2.91,3.77,5.03,6.77,5.18,4.69,4.81,1.13
5049,3.62,2.68,3.29,5.84,15.91,4.72,5.81,5.98,4.21
5050,2.61,1.82,3.18,2.92,4.84,2.87,2.98,3.03,0.84
5051,180.81,140.86,124.5,186.68,68.56,14.2,20.99,105.23,66.24
5052,8.14,8.09,7.09,7.95,12.37,8.32,19.82,10.25,4.21
5054,4.2,2.39,3.58,4.02,8.53,5.61,8.83,5.31,2.31
5055,30.02,13.5,12.26,29.29,28.53,24.17,21.23,22.72,6.86
5061,8.56,6.62,7.93,9.1,10.1,8.87,11.23,8.92,1.37
5099,313.01,340.34,227.03,428.8,655.09,3075.53,716.65,822.35,934.8
5100,1863.13,724.35,814.62,1129.11,721.66,1957.33,883.96,1156.31,494.02
5101,586.71,456.15,97.29,962.51,273.39,956.86,451.93,540.69,301.5
5102,1.96,2.75,1.73,1.93,303.84,1843.55,732.85,412.66,636.52
5105,11.24,9.04,15.24,9.84,10.67,10.81,11.03,11.12,1.82
5108,21.76,19.47,85.57,1695.85,368.82,25.64,24.65,320.25,573.64
5109,3.39,2.53,2.56,3.68,3.8,4.25,84.53,14.96,28.41
5114,4.2,4.11,4.15,6.8,141.48,4836.52,65.83,723.3,1679.89
5118,131.75,150.66,180.8,110.84,134.13,154.18,141.06,143.35,20.19
5119,0.79,0.81,0.91,0.81,1.12,0.8,0.81,0.86,0.11
5120,8.1,8.15,6.22,5.04,4.33,3.16,4.01,5.57,1.83
5121,18.6,21.22,24.1,14.69,18.55,13.09,16.47,18.1,3.5
5122,9.28,10.13,10.35,8.09,8.74,8.4,7.38,8.91,1.0
5125,89.44,76.79,101.57,122.36,146.07,121.54,123.06,111.55,21.84
5126,111.2,99.09,132.5,146.42,194.01,123.48,135.34,134.58,28.3
5245,204.67,59.72,59.9,94.78,151.69,99.41,81.2,107.34,49.08
9847,31.32,24.71,23.81,36.13,36.67,34.83,35.18,31.81,5.03
10025,7.46,6.4,7.03,9.85,10.46,7.99,8.25,8.21,1.37
