Unnamed: 0,Jun,Jul,Aug,Sep,Oct,Nov,Dec,avg,std
3481,4.0974,4.3618,3.953,5.1965,5.0991,3.4921,4.5206,4.3886,0.5674
3572,2.0133,1.7901,1.007,2.1572,2.6688,1.6792,2.4421,1.9654,0.506
3576,2.3365,2.3508,1.5687,2.9414,2.2572,28.4112,2.7997,6.0951,9.1197
3628,2.3192,2.1954,1.1774,1.9066,2.4715,2.0432,2.0969,2.03,0.3878
3684,1.0756,1.1918,0.8751,3.7178,3.5479,1.6586,1.3391,1.9151,1.1099
3685,1.8281,1.7625,1.4426,1.5325,2.1099,1.5824,2.0035,1.7517,0.2299
3686,3.4708,3.0202,2.0835,2.8258,4.0722,3.4358,2.8799,3.1126,0.5804
5044,0.8427,0.8621,0.79,0.7822,0.8673,1.0403,0.9206,0.8722,0.0815
5045,1.4749,1.2375,1.5966,1.4315,2.0065,1.5629,2.2318,1.6488,0.3217
5046,2.4059,1.6503,1.2913,3.153,3.6934,1.9043,2.4443,2.3632,0.781
5047,1.7797,1.4185,1.0671,1.2746,2.2084,1.2688,1.6492,1.5238,0.3579
5048,1.8216,1.1779,0.8311,1.1841,1.6796,1.3711,1.4871,1.3646,0.3106
5049,1.1754,1.0364,0.8372,0.9792,2.1231,1.1247,1.2658,1.2203,0.3904
5050,1.0149,0.9725,0.9213,1.0808,1.1515,1.1069,1.0672,1.045,0.0741
5051,10.9551,5.0933,2.6551,4.3353,8.4287,2.0619,1.7248,5.0363,3.2186
5052,2.4388,1.7607,1.2284,1.8152,2.5836,1.8795,2.0444,1.9644,0.4188
5054,1.5444,1.0569,0.8983,1.1218,1.5434,1.3049,1.3388,1.2584,0.227
5055,6.6401,3.4486,1.844,4.2295,5.1436,3.8297,3.9931,4.1612,1.3696
5061,1.854,1.7741,1.3036,1.839,2.5309,1.6682,1.9109,1.8401,0.3389
5099,4.0229,15.0002,5.0897,10.4229,13.8562,56.2318,33.0991,19.6747,17.3849
5100,22.9329,27.1362,26.598,17.5415,19.5103,45.8914,30.2912,27.1288,8.7004
5101,35.7424,19.6767,1.7653,35.0356,23.5431,38.5762,15.4822,24.2602,12.2911
5102,1.0259,1.0999,0.9354,0.9706,0.8916,40.1113,19.3676,9.2003,14.1238
5105,1.7673,1.8326,1.2249,1.741,1.9143,2.0236,2.0426,1.7923,0.2558
5108,2.3658,2.3406,1.8809,39.4781,43.3255,4.4796,2.9375,13.8297,17.4851
5109,1.1955,1.3375,1.0659,1.248,1.3065,1.2582,1.3581,1.2528,0.0921
5114,1.4105,1.2406,1.048,1.3095,1.6217,58.7894,6.7779,10.3139,19.8799
5118,4.5087,4.4199,4.2478,3.2716,4.3688,3.8668,4.0794,4.109,0.3971
5119,0.7127,0.6857,0.7107,0.7349,0.7322,0.6592,0.6451,0.6972,0.0324
5120,1.4531,1.3418,0.9345,1.0087,1.3679,0.9352,1.0666,1.1582,0.2053
5121,3.2254,3.4952,2.9627,2.4794,3.8084,2.7745,3.1156,3.123,0.4106
5122,1.8461,2.0869,2.6607,1.7007,1.7993,1.6052,1.7681,1.9239,0.331
5125,6.379,6.2174,6.3604,7.0468,7.2862,8.061,7.6189,6.9957,0.6547
5126,6.8996,7.4763,6.9903,7.2942,7.8414,7.7308,9.2904,7.6461,0.7454
5245,22.0393,3.4744,1.4162,4.7687,7.4013,2.6533,4.458,6.6016,6.5375
9847,4.6899,4.015,3.4106,4.3769,4.8746,4.5473,4.8495,4.3948,0.4871
10025,1.8269,1.7231,1.087,1.8848,2.4506,1.6091,1.662,1.7491,0.3747
